Description,Designator,Footprint,Quantity,VALUE,Comment,LOAD,MFT,MPN,RATING,TYPE,DNP,Library Name
"Inductor RF Chip ThFIXED IND 5.1NH 140MA 700 MOHM","L6.1, L6.2","INDC1005X45N","2","5.1nH","LQP15MN5N1B02D","","Murata","LQP15MN5N1B02D","","SMD","","Inductor.IntLib"
"DIODE SCHOTTKY 20V 0.5A SOD123","D3.1, D3.2","SOD123","2","MBR0520L","MBR0520L","","ON Semiconductor","MBR0520L","20V 500MA","SMD","","Diode.IntLib"
"MCP9808 Series 3.6 V Memory Module Digital Temperature Sensor SMT - MSOP-8","U26","SOP65P490X110-8N","1","MCP9808T-E/MS","MCP9808T-E/MS","DNP","Microchip","MCP9808T-E/MS","","SMD","","SnapEDA.IntLib"
"FIXED IND 22UH 1.1A 408 MOHM SMD","L3, L4","MPI4040R3-220-R","2","22µH","MPI4040R3-220-R","","Eaton Bussmann","MPI4040R3-220-R","1.1A 408 MOHM","SMD","","Inductor.IntLib"
"RES SMD 1.2K OHM 1% 1/16W 0402","R68.1, R68.2","RESC1005X40N","2","1.2k","RC0402FR-071K2L","","Yageo","RC0402FR-071K2L","1/16W","SMD","","Res.IntLib"
"RES SMD 1.5K OHM 1% 1/16W 0402","R67.1, R67.2","RESC1005X40N","2","1.5k","RC0402FR-071K5L","","Yageo","RC0402FR-071K5L","1% 1/16W","SMD","","Res.IntLib"
"RES SMD 43K OHM 1% 1/16W 0402","R65.1, R65.2","RESC1005X40N","2","43k","RC0402FR-0743KL","","Yageo","RC0402FR-0743KL","1/16W","SMD","","Res.IntLib"
"RES SMD 47K OHM 1% 1/16W 0402","R66.1, R66.2","R0402","2","47k","RC0402FR-0747KL","","Yageo","RC0402FR-0747KL","1/16W","SMD","","Res.IntLib"
"RES SMD 4.7K OHM 5% 1/16W 0402","R22, R62, R63, R64","R0402","4","4.7k","RC0402JR-074K7L","","Yageo","RC0402JR-074K7L","±5%","Surface Mount","","Res.IntLib"
"IC RF FRONT END MOD 2.4GHZ 24QFN","U19.1, U19.2","QFN40P300X400X90-25N-D","2","SE2431L-R","SE2431L-R","","Skyworks","SE2431L-R","","SMD","","IC.IntLib"
"IC BUFF/DVR TRI-ST DUAL 20TSSOP","U20, U21, U22","TSSOP-20 (SN74LVC)","3","SN74LVC244APWR","SN74LVC244APWR","","Texas Instruments","SN74LVC244APWR","","SMD","","IC.IntLib"
"RF Connectors / Coaxial Connectors SMT MALE RECEPT AU","J8.1, J8.2","HIROSE_U.FL-R-SMT","2","U.FL-R-SMT-1(80)","U.FL-R-SMT-1(80)","","Hirose","U.FL-R-SMT-1(80)","","SMD","","Connector.IntLib"
