,,,Project:,Wilamp DCU,,,,,,,,
,,,Document:,BILL OF MATERIALS (BOM),,,,,,,,
,,,Revision:,V1.0,,,,,,,,
,,,Prepared By:,Jbayalas,,,,,,,,
,,,Release Date:,5-Jan-19,,,,,,,,
,,,,,,,,,,,,
FUNCTION,QTY,REFDES,DESC,MPN,MFT,PACKAGE,VALUE,RATING,TYPE,LOAD,Library Name,
JENNIC,3,"J2.1, J2.2, J2.3",CONN HEADER 7POS .100 VERT TIN,22284070,"Molex, LLC",22284070,22284070,,TH,,Connector.IntLib,
TOP,1,J15,CONN PWR JACK 2.1X5.5MM HIGH CUR,PJ-002AH,CUI Inc.,PJ-002AH,PJ-002AH,,TH,,Connector.IntLib,
P3,1,P3,"CONN RCPT .100 46POS DUAL GOLD""",SSW-123-01-S-D,Samtec,2x23 Header Female,SSW-123-01-S-D,,TH,,Connector.IntLib,
USB,1,P1,CONN RCPT USB MINI B R/A SMD,UX60SC-MB-5ST(80),Hirose Electric Co Ltd,UX60SC-MB-5ST(80),UX60SC-MB-5ST(80),,SMD,,Connector.IntLib,
CRYPTO,1,U8,EEPROM Serial-I2C 8.5K-bit 2.5V/3.3V/5V 8-Pin SOIC Bulk,ATECC108-SSHDA-B,Microchip / Atmel,SOIC-8,ATECC108-SSHDA-B,2.5V/3.3V/5V,SMD,,IC.IntLib,
PwrInFilter,1,FB1,FERRITE BEAD 1 KOHM 1206 1LN,BLM31KN102SN1L,Murata,1206 INDUCTOR,BLM31KN102SN1L,1 KOHM,SMD,,Inductor.IntLib,
JENNIC,3,"L2.1, L2.2, L2.3",FERRITE CHIP 120 OHM 0805,BLM21PG121SN1D,Murata Electronics North America,0805 INDUCTOR,120 Ohm,3A,SMD,,Inductor.IntLib,
CRYPTO,1,U5,IC AUTHENTICATION CHIP 8SOIC,ATSHA204A-SSHDA-T,Microchip Technology,SOIC-8,ATSHA204A-SSHDA-T,,SMD,,IC.IntLib,
CRYPTO,1,U6,IC EEPROM 256K I2C 400KHZ 8SOIC,24LC256T-I/SN,Microchip Technology,SOIC-8,24LC256T-I/SN,,SMD,,IC.IntLib,
JENNIC,3,"U1.1, U1.2, U1.3",IC EEPROM 32KBIT 400KHZ SOT23-5,24LC32AT-I/OT,Microchip Technology,SOT-23-5,24LC32AT-I/OT,,SMD,,IC.IntLib,
LED,5,"Q1, Q2, Q3, Q4, Q5",IC INDCT LOAD DRVR AUTO SOT23,NUD3124LT1G,ON Semiconductor,SOT-23-3,NUD3124LT1G,,SMD,,Transistor.IntLib,
BBB,1,U2,IC INVERTER HS SINGLE SOT-23-5,NC7S04M5X,ON Semiconductor,SOT 23-5,NC7S04M5X,,SMD,,IC.IntLib,
PIC,1,U25,IC RTC /CALENDAR TCXO QTZ 20SOIC,"PCF2129AT/2,518",NXP Semiconductors,SOIC-20,"PCF2129AT/2,518",,SMD,,IC.IntLib,
CRYPTO,1,U9,IC RTC I2C 8SOIC,DS3231MZ+,Maxim,SOIC-8,DS3231MZ+,,SMD,,IC.IntLib,
PIC,1,D15,LED BLUE 0402 SMD,VLMB1500-GS08,Vishay Semiconductor Opto Division,LED0402(BLUE),Blue,,SMD,,Diode.IntLib,
LED,2,"D2, D8",LED BLUE 0402 SMD,VLMB1500-GS08,Vishay Semiconductor Opto Division,LED0402(BLUE),Blue,,SMD,,Diode.IntLib,
JENNIC,3,"D4.1, D4.2, D4.3",LED BLUE CLEAR 0603 SMD,LTST-C191TBKT,Lite-On Inc.,LED-0603 (BLUE),Blue,,SMD,,Diode.IntLib,
JENNIC,3,"D5.1, D5.2, D5.3",LED CHIPLED 633NM RED 0805 SMD,LS R976-NR-1,OSRAM Opto Semiconductors Inc.,LED0805 - (RED),Red,,SMD,,Diode.IntLib,
PwrInFilter,1,D13,LED GREEN 0402 SMD,LNJ347W83RA,Panasonic Electronic Components,LED0402(GREEN),Green,,SMD,,Diode.IntLib,
5v_dcdc,1,D14,LED GREEN 0402 SMD,LNJ347W83RA,Panasonic Electronic Components,LED0402(GREEN),Green,,SMD,,Diode.IntLib,
LED,2,"D7, D10",LED GREEN 0402 SMD,LNJ347W83RA,Panasonic Electronic Components,LED0402(GREEN),Green,,SMD,,Diode.IntLib,
PIC,1,D11,LED RED 0402 SMD,LNJ247W82RA,Panasonic Electronic Components,LED0402(RED),Red,,SMD,,Diode.IntLib,
LED,1,D9,LED RED 0402 SMD,LNJ247W82RA,Panasonic Electronic Components,LED0402(RED),Red,,SMD,,Diode.IntLib,
PIC,1,U24,MCU 8BIT 32KB FLASH 28SSOP,PIC18F25K22T-I/SS,Microchip,SSOP-28 (PIC),PIC18F25K22T-I/SS,,SMD,,IC.IntLib,
LED,5,"R4, R5, R57, R58, R59",RES SMD 0.0 OHM JUMPER 1/4W 1206,RC1206JR-070RL,Yageo,R1206,0,,SMD,,Res.IntLib,
TOP,2,"R2, R3",RES SMD 0.0 OHM JUMPER 1/8W 0805,RC0805JR-070RL,Yageo,R0805,0,1/8W,SMD,,Res.IntLib,
PIC,3,"R19, R21, R31",RES SMD 0.0OHM JUMPER 1/16W 0402,CRCW04020000Z0ED,Vishay Dale,R0402,0,63mW,SMD,,Res.IntLib,
3v3_dcdc,1,R40,RES SMD 100K OHM 1% 1/16W 0402,CRCW0402100KFKED,Vishay Dale,R0402,100k,0.063W,SMD,,Res.IntLib,
CRYPTO,1,R30,RES SMD 10K OHM 1% 1/5W 0402,CRCW040210K0FKEDHP,Vishay Dale,R0402,10k,"0.2W, 1/5W",SMD,,Res.IntLib,
CRYPTO,1,R32,RES SMD 10K OHM 1% 1/5W 0402,CRCW040210K0FKEDHP,Vishay Dale,R0402,10k,"0.2W, 1/5W",SMD,DNP,Res.IntLib,
3v3_dcdc,1,R39,RES SMD 10K OHM 5% 1/16W 0402,CRCW040210K0JNED,Vishay Dale,R0402,10k,"0.063W, 1/16W",SMD,,Res.IntLib,
3v3_dcdc,1,R43,RES SMD 150K OHM 1% 1/16W 0402,CRCW0402150KFKED,Vishay Dale,R0402,150k,63mW,SMD,,Res.IntLib,
5v_dcdc,1,R47,RES SMD 150K OHM 1% 1/16W 0402,CRCW0402150KFKED,Vishay Dale,R0402,150k,63mW,SMD,,Res.IntLib,
